invoice,Branch,Date,Gender,"Product line",Sales
750-67-8428,Alex,1/5/2019,Female,"Health and beauty",548.9715
226-31-3081,Giza,3/8/2019,Female,"Electronic accessories",80.22
631-41-3108,Alex,3/3/2019,Female,"Home and lifestyle",340.5255
123-19-1176,Alex,1/27/2019,Female,"Health and beauty",489.048
373-73-7910,Alex,2/8/2019,Female,"Sports and travel",634.3785
699-14-3026,Giza,3/25/2019,Female,"Electronic accessories",627.6165
355-53-5943,Alex,2/25/2019,Female,"Electronic accessories",433.692
315-22-5665,Giza,2/24/2019,Female,"Home and lifestyle",772.38
665-32-9167,Alex,1/10/2019,Female,"Health and beauty",76.146
692-92-5582,Cairo,2/20/2019,Female,"Food and beverages",172.746
351-62-0822,Cairo,2/6/2019,Female,"Fashion accessories",60.816
529-56-3974,Cairo,3/9/2019,Female,"Electronic accessories",107.142
365-64-0515,Alex,2/12/2019,Female,"Electronic accessories",246.4875
252-56-2699,Alex,2/7/2019,Female,"Food and beverages",453.495
829-34-3910,Alex,3/29/2019,Female,"Health and beauty",749.49
299-46-1805,Cairo,1/15/2019,Female,"Sports and travel",590.436
656-95-9349,Alex,3/11/2019,Female,"Health and beauty",506.6355
765-26-6951,Alex,1/1/2019,Female,"Sports and travel",457.443
329-62-1586,Alex,1/21/2019,Female,"Food and beverages",172.2105
319-50-3348,Cairo,3/11/2019,Female,"Home and lifestyle",84.63
300-71-4605,Giza,2/25/2019,Female,"Electronic accessories",451.71
371-85-5789,Cairo,3/5/2019,Female,"Health and beauty",277.137
273-16-6619,Cairo,3/15/2019,Female,"Home and lifestyle",69.72
636-48-8204,Alex,2/17/2019,Female,"Electronic accessories",181.44
549-59-1358,Alex,3/2/2019,Female,"Sports and travel",279.1845
227-03-5010,Alex,3/22/2019,Female,"Home and lifestyle",441.756
649-29-6775,Cairo,2/8/2019,Female,"Fashion accessories",35.196
189-17-4241,Alex,3/10/2019,Female,"Fashion accessories",184.107
145-94-9061,Cairo,1/25/2019,Female,"Food and beverages",463.89
848-62-7243,Alex,3/15/2019,Female,"Health and beauty",235.2105
871-79-8483,Cairo,2/25/2019,Female,"Fashion accessories",494.1825
149-71-6266,Cairo,1/28/2019,Female,"Sports and travel",737.7615
640-49-2076,Cairo,1/10/2019,Female,"Sports and travel",703.752
595-11-5460,Alex,3/15/2019,Female,"Health and beauty",202.818
183-56-6882,Giza,2/6/2019,Female,"Food and beverages",417.564
232-16-2483,Giza,1/7/2019,Female,"Sports and travel",71.526
129-29-8530,Alex,3/10/2019,Female,"Sports and travel",328.755
272-65-1806,Alex,1/15/2019,Female,"Electronic accessories",575.316
333-73-7901,Giza,3/23/2019,Female,"Health and beauty",461.328
777-82-7220,Cairo,3/3/2019,Female,"Home and lifestyle",253.008
280-35-5823,Cairo,1/17/2019,Female,"Home and lifestyle",91.056
554-53-8700,Giza,2/2/2019,Female,"Home and lifestyle",117.831
354-25-5821,Cairo,2/8/2019,Female,"Sports and travel",435.456
228-96-1411,Giza,3/4/2019,Female,"Food and beverages",829.08
617-15-4209,Giza,3/16/2019,Female,"Health and beauty",32.277
132-32-9879,Cairo,3/9/2019,Female,"Electronic accessories",394.632
370-41-7321,Cairo,2/27/2019,Female,"Health and beauty",535.7205
727-46-3608,Cairo,2/6/2019,Female,"Food and beverages",189.0945
669-54-1719,Cairo,2/10/2019,Female,"Electronic accessories",119.259
574-22-5561,Giza,3/19/2019,Female,"Fashion accessories",867.615
326-78-5178,Giza,2/3/2019,Female,"Food and beverages",671.79
162-48-8011,Alex,2/10/2019,Female,"Food and beverages",234.0975
616-24-2851,Cairo,3/22/2019,Female,"Fashion accessories",75.054
778-71-5554,Giza,1/25/2019,Female,"Fashion accessories",16.2015
242-55-6721,Cairo,3/7/2019,Female,"Home and lifestyle",33.936
399-46-5918,Giza,2/28/2019,Female,"Electronic accessories",722.232
106-35-6779,Alex,3/27/2019,Female,"Home and lifestyle",93.114
635-40-6220,Alex,2/7/2019,Female,"Health and beauty",752.64
817-48-8732,Alex,1/20/2019,Female,"Home and lifestyle",759.675
120-06-4233,Giza,3/12/2019,Female,"Electronic accessories",192.843
285-68-5083,Giza,2/15/2019,Female,"Sports and travel",77.931
803-83-5989,Giza,2/24/2019,Female,"Home and lifestyle",351.099
347-34-2234,Cairo,2/3/2019,Female,"Sports and travel",520.4115
199-75-8169,Alex,3/6/2019,Female,"Sports and travel",166.005
853-23-2453,Cairo,2/14/2019,Female,"Health and beauty",318.108
877-22-3308,Alex,3/13/2019,Female,"Health and beauty",166.635
838-78-4295,Giza,2/10/2019,Female,"Health and beauty",70.287
109-28-2512,Cairo,1/7/2019,Female,"Fashion accessories",614.943
232-11-3025,Alex,1/24/2019,Female,"Sports and travel",827.085
382-03-4532,Alex,2/2/2019,Female,"Health and beauty",19.2465
393-65-2792,Giza,1/6/2019,Female,"Food and beverages",939.54
796-12-2025,Giza,2/11/2019,Female,"Fashion accessories",652.26
510-95-6347,Cairo,3/5/2019,Female,"Food and beverages",152.838
841-35-6630,Giza,3/9/2019,Female,"Electronic accessories",478.233
287-21-9091,Alex,1/22/2019,Female,"Home and lifestyle",705.6315
732-94-0499,Giza,1/13/2019,Female,"Electronic accessories",437.325
263-10-3913,Giza,1/9/2019,Female,"Fashion accessories",463.428
381-20-0914,Alex,1/12/2019,Female,"Fashion accessories",189.0945
829-49-1914,Giza,3/5/2019,Female,"Food and beverages",822.255
756-01-7507,Giza,1/22/2019,Female,"Health and beauty",106.995
870-72-4431,Giza,1/21/2019,Female,"Health and beauty",624.897
847-38-7188,Cairo,1/26/2019,Female,"Food and beverages",304.542
480-63-2856,Giza,1/23/2019,Female,"Food and beverages",161.7
787-56-0757,Giza,2/23/2019,Female,"Food and beverages",337.512
360-39-5055,Giza,3/9/2019,Female,"Sports and travel",256.7775
730-50-9884,Giza,3/5/2019,Female,"Sports and travel",610.491
362-58-8315,Giza,3/25/2019,Female,"Fashion accessories",401.73
633-44-8566,Alex,3/27/2019,Female,"Food and beverages",362.943
504-35-8843,Alex,1/2/2019,Female,"Sports and travel",44.5935
318-68-5053,Cairo,2/27/2019,Female,"Health and beauty",485.037
565-80-5980,Giza,1/23/2019,Female,"Home and lifestyle",198.996
225-32-0908,Giza,1/26/2019,Female,"Sports and travel",471.03
873-51-0671,Alex,1/10/2019,Female,"Sports and travel",161.553
152-08-9985,Cairo,3/12/2019,Female,"Health and beauty",608.202
512-91-0811,Giza,2/6/2019,Female,"Health and beauty",94.2375
594-34-4444,Alex,3/8/2019,Female,"Electronic accessories",102.018
766-85-7061,Cairo,3/29/2019,Female,"Health and beauty",922.635
871-39-9221,Giza,2/9/2019,Female,"Electronic accessories",78.435
865-92-6136,Alex,3/23/2019,Female,"Food and beverages",166.1625
733-01-9107,Cairo,3/5/2019,Female,"Home and lifestyle",521.01
163-56-7055,Giza,3/26/2019,Female,"Fashion accessories",51.1455
189-98-2939,Giza,3/1/2019,Female,"Fashion accessories",742.2975
551-21-3069,Giza,2/1/2019,Female,"Electronic accessories",218.0115
212-62-1842,Alex,3/28/2019,Female,"Food and beverages",367.038
716-39-1409,Cairo,3/19/2019,Female,"Health and beauty",223.0725
704-48-3927,Alex,1/12/2019,Female,"Electronic accessories",931.035
628-34-3388,Giza,1/5/2019,Female,"Fashion accessories",172.494
630-74-5166,Alex,3/22/2019,Female,"Sports and travel",391.419
588-01-7461,Giza,3/24/2019,Female,"Food and beverages",321.111
861-77-0145,Giza,3/3/2019,Female,"Electronic accessories",860.685
479-26-8945,Cairo,2/5/2019,Female,"Sports and travel",34.629
210-67-5886,Giza,2/5/2019,Female,"Health and beauty",309.3615
227-78-1148,Cairo,2/15/2019,Female,"Fashion accessories",535.374
645-44-1170,Alex,1/19/2019,Female,"Home and lifestyle",548.7615
237-01-6122,Giza,2/1/2019,Female,"Home and lifestyle",763.4655
